text,sentiment
I love this product,Positive
This phone is amazing,Positive
Excellent quality and service,Positive
Very happy with the purchase,Positive
Best experience ever,Positive
Fantastic customer support,Positive
Highly recommended,Positive
The product works perfectly,Positive
Very satisfied with the quality,Positive
This is wonderful,Positive
Absolutely fantastic item,Positive
The delivery was quick,Positive
Great value for money,Positive
I am impressed with the performance,Positive
Superb product,Positive
Everything is excellent,Positive
Very easy to use,Positive
I will definitely buy again,Positive
Amazing features and quality,Positive
Loved every part of it,Positive
I hate this product,Negative
Very disappointed,Negative
Worst purchase ever,Negative
Terrible quality,Negative
Poor customer service,Negative
Waste of money,Negative
Completely useless,Negative
Very bad experience,Negative
Not recommended,Negative
The product broke quickly,Negative
Absolutely awful,Negative
Very poor performance,Negative
I regret buying this,Negative
This item is terrible,Negative
Extremely frustrating,Negative
The quality is very bad,Negative
Not worth the price,Negative
I will never buy again,Negative
Very unhappy with this purchase,Negative
The service was horrible,Negative